'beta_mu', 'algorithm', 'terminate', 'init_point', 'optimal_soultion', 'ans', 'violation'
(0.01, 1.5)	Powell	1e-08	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1, -0.0, 0.3931, 0.0659, 0.2932, 0.0, 0.0001, 0.1478)	0.1051	0
(0.01, 1.5)	Powell	10	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1784, -0.0062, 0.1349, -0.0337, 0.2115, 0.0932, -0.0469, 0.2896)	0.0461	7
(0.01, 1.5)	Powell	25	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1002, -0.0001, 0.383, 0.0639, 0.2957, 0.0, 0.0, 0.1568)	0.1035	3
(0.01, 1.5)	Powell	50	(10, 0, 10, 0, 10, 0, 10, 0)	(0.0999, 0.0001, 0.3934, 0.0659, 0.2931, -0.0, 0.0001, 0.1477)	0.1051	0
(0.01, 1.5)	Powell	0.001	(0, 0, 0, 2, 2, 2, 1, 1)	(0.104, 0.0042, 0.3473, 0.019, 0.2709, 0.033, -0.0035, 0.2087)	0.0911	5
(0.01, 1.5)	Powell	1e-05	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1004, -0.0, 0.3794, 0.0629, 0.2953, 0.0013, -0.0001, 0.1601)	0.1028	3
(0.01, 1.5)	Powell	1e-08	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, -0.0, 0.3931, 0.0659, 0.2932, 0.0, 0.0001, 0.1478)	0.1051	0
(0.01, 1.5)	Powell	10	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1784, -0.0062, 0.1349, -0.0337, 0.2115, 0.0932, -0.0469, 0.2896)	0.0461	7
(0.01, 1.5)	Powell	25	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1002, -0.0001, 0.383, 0.0639, 0.2957, 0.0, 0.0, 0.1568)	0.1035	3
(0.01, 1.5)	Powell	50	(0, 0, 0, 2, 2, 2, 1, 1)	(0.0999, 0.0001, 0.3934, 0.0659, 0.2931, -0.0, 0.0001, 0.1477)	0.1051	0
(0.01, 1.5)	COBYLA	0.001	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.11, -0.0009, 0.331, 0.0335, 0.2861, 0.0176, -0.0036, 0.2093)	0.0907	6
(0.01, 1.5)	COBYLA	1e-05	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.0994, -0.0002, 0.3693, 0.0746, 0.2935, 0.0027, 0.0001, 0.1607)	0.1033	3
(0.01, 1.5)	COBYLA	1e-08	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.0606, 0.0023, 0.3784, 0.0937, 0.2877, 0.0062, 0.003, 0.168)	0.1087	0
(0.01, 1.5)	COBYLA	10	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1794, -0.0066, 0.133, -0.0347, 0.1777, 0.1291, -0.0474, 0.2896)	0.0458	7
(0.01, 1.5)	COBYLA	25	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1002, -0.0002, 0.3662, 0.0665, 0.2957, 0.0026, 0.0002, 0.1681)	0.1017	3
(0.01, 1.5)	COBYLA	50	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.0612, 0.0014, 0.3775, 0.0946, 0.2889, 0.006, 0.003, 0.1672)	0.1088	0
(0.01, 1.5)	COBYLA	0.001	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1097, -0.0006, 0.3374, 0.0275, 0.2828, 0.021, -0.0037, 0.2094)	0.0908	6
(0.01, 1.5)	COBYLA	1e-05	(10, 0, 10, 0, 10, 0, 10, 0)	(0.0985, -0.0001, 0.3757, 0.0696, 0.2881, 0.0071, 0.0, 0.1606)	0.1034	2
(0.01, 1.5)	COBYLA	1e-08	(10, 0, 10, 0, 10, 0, 10, 0)	(0.0941, 0.0, 0.381, 0.087, 0.2772, 0.0044, 0.0008, 0.1555)	0.1063	0
(0.01, 1.5)	COBYLA	10	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1783, -0.006, 0.1346, -0.0344, 0.1964, 0.1093, -0.0476, 0.2904)	0.046	7
(0.01, 1.5)	COBYLA	25	(10, 0, 10, 0, 10, 0, 10, 0)	(0.1001, -0.0002, 0.3706, 0.0629, 0.29, 0.0087, 0.0009, 0.1664)	0.1019	2
