2020,3.45
2019,6.78
2018,6.27
2017,6.08
2016,5.23
2015,3.5
2014,2.87
2013,0.66
2012,3.61
2011,6.35
2010,3.01
2009,2.41
2008,11.2
2007,6.94
2006,8.45
2005,9.73
2004,5.16
2003,4.58
2002,4.41
2001,7.16
2000,3.41
1999,3.35
1998,3.53
1997,3.26
