2020,5.02
2019,3.53
2018,4.79
2017,4.05
2016,5.11
2015,4.13
2014,4.23
2013,3.36
2012,3.23
2011,1.92
2010,2
2009,0
2008,4.86
2007,2.02
2006,3
2005,4.11
2004,3.3
2003,3.41
2002,3.33
2001,0
2000,0
1999,0
1998,0
1997,0
